24mer_ProbeName,Nucleotide
probe0593,931
probe0200,932
probe0063,933
probe0021,934
probe0003,935
probe0591,936
probe0733,937
probe0248,938
probe1157,939
probe0370,940
probe0125,941
probe1131,942
probe1328,943
probe1390,944
probe0939,945
probe1763,946
probe1999,947
probe1526,948
probe0969,949
probe1294,950
probe1840,951
probe0532,952
probe1659,953
probe1450,954
probe0957,955
probe0318,956
probe0111,957
probe1580,958
probe0981,959
probe0330,960
probe0671,961
probe0222,962
probe0649,963
probe1689,964
probe1460,965
probe0452,966
probe1647,967
probe1448,968
probe1407,969
probe0945,970
probe0314,971
probe0109,972
probe0619,973
probe0210,974
probe0069,975
probe1119,976
probe0873,977
probe1737,978
probe1985,979
probe2075,980
probe1544,981
probe1917,982
probe2057,983
probe1099,984
probe0360,985
probe1625,986
probe1951,987
probe2071,988
probe2086,989
probe1550,990
probe1921,991
probe1057,992
probe0853,993
probe1733,994
probe1981,995
probe1073,996
probe0859,997
probe0809,998
probe0795,999
probe0791,1000
probe0268,1001
probe0093,1002
probe1123,1003
probe0875,1004
probe1739,1005
probe1987,1006
probe0558,1007
probe1217,1008
probe1354,1009
probe1396,1010
probe0436,1011
probe1191,1012
probe1342,1013
probe1392,1014
probe0434,1015
probe1641,1016
probe1955,1017
probe1516,1018
probe1419,1019
probe0951,1020
probe1290,1021
probe0917,1022
probe0821,1023
probe0799,1024
probe0272,1025
probe1605,1026
probe1939,1027
probe1059,1028
probe1310,1029
probe0921,1030
probe0823,1031
probe1266,1032
probe1364,1033
probe1398,1034
probe1866,1035
